"Cluster	Record	Isolate.ID	Id.Match	Frog.ID	proportion growth 1	anti-Bd Class (80%)	Taxnonomy	DirTax_Phylum	DirTax_Class	DirTax_Order	DirTax_Family	DirTax_Genus	DirTax_Species	TotalIso	Inhibitory	NonInhibitory	InhibitoryRatio"
"44	H	Mada.2937	Mada.2350	Boophis  viridis	0.7501905	NonInhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__chocolatum	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	chocolatum		4	5	4 . 5"
"44	H	Mada.810	Mada.2350	Heterixalus betsileo	0.21322417	NonInhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	chocolatum		4	5	4 . 5"
"44	H	Mada.1323	Mada.2350	Mantidactylus  guttalatus	0.228159712	NonInhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__chocolatum	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	chocolatum		4	5	4 . 5"
"44	H	Mada.1832	Mada.2350	Aglyptodactylus madagascariensis	0.181051974	Inhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__chocolatum	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	chocolatum		4	5	4 . 5"
"44	H	Mada.363	Mada.2350	Gephryomantis silvanus	0.208231126	NonInhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__chocolatum	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	chocolatum		4	5	4 . 5"
"254	S	Mada.3847	*	Mantella aurantiaca	0.9123439	NonInhibitory	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA		6	8	6 . 8"
"254	H	Mada.1031	Mada.3847	Blommersiablommersae	0.198289902	Inhibitory	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA		6	8	6 . 8"
"254	H	Mada.795	Mada.3847	Guibemantis timidis	0.072617247	Inhibitory	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA		6	8	6 . 8"
"254	H	Mada.814	Mada.3847	Heterixalus betsileo	0.056720656	Inhibitory	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA		6	8	6 . 8"
"254	H	Mada.839	Mada.3847	Boophis  tephramystax	0.221462218	NonInhibitory	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA		6	8	6 . 8"
